"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"57","dos -0.00377474519375431","million -0.00368850739605819","health -0.00154608526611255","test -0.0014442160383461","rate -0.00112459144604682","note -0.0010830482711619","drop -0.000919372346683711","administer -0.000884129799853639","remain -0.000861421625066416","now -0.000730925004630456"
"58","case -0.0182602130834403","us -0.00486611917950841","brazil -0.00280665201224894","rate -0.00235026410337436","receive -0.00164606141570012","recent -0.00152958016960369","total -0.00144960375061509","new -0.00120160819782522","now -0.00119189304443579","venezuela -0.00107572073897377"
"59","hour -0.00222337763132663","brazil -0.00207507228627468","record -0.00182785450577805","health -0.00181800101020868","rate -0.00173297214094348","traveler -0.00142654602565906","ministry -0.0013219645233683","make -0.00130086243309069","tuesday -0.00122031154332769","nurse -0.00119319562670162"
"60","death -0.00800790886355229","population -0.00461670149845861","us -0.00290858939961036","health -0.00247196962775675","dose -0.00194604289707401","high -0.00160982751775318","accord -0.00151516575521871","record -0.00121989883152018","unite -0.000950040446091704","university -0.000950040446091704"
"61","state -0.0147259630629391","ministry -0.00580785831524899","dos -0.00359262335489452","us -0.00287003006639075","rate -0.00187714616784829","also -0.00177244301795842","bolsonaro -0.00165411743761279","high -0.00150214354492273","may -0.00121705909893577","cnn -0.00118333982387353"
"62","state -0.00347451501529894","brazil -0.00264104264319076","now -0.00159268547454872","countrys -0.000877352626022065","daily -0.000863815693544323","patient -0.000686369820436239","measure -0.000577993376403074","tuesday -0.00052428887875211","government -0.000522488000936794","year -0.000516935210179925"
"63","death -0.00426384415823644","delhi -0.00100500001118686","new -0.000819109298758836","week -0.000762024678611972","rise -0.000754335936503425","city -0.0007457849111977","coronavirus -0.000668792170869015","datum -0.00066214030368017","india -0.000619535950248662","sao -0.00055626461895053"
"64","us -0.00332118406344373","since -0.00269397463274568","de -0.00168283319724372","record -0.00154176209677237","health -0.0014268981596216","city -0.0013605582957914","numb -0.00119969626349403","area -0.00117719498550606","ministry -0.0011328684335703","york -0.00111314997503487"
"65","million -0.00294832244081089","pandemic -0.00279145189502339","receive -0.00224510500897857","shot -0.00212919326193373","numb -0.00181039641868364","number -0.000955750726786109","office -0.000889456040079395","brazil -0.000885414752131553","country -0.000864924238189069","say -0.000782821608999451"
"66","january -0.00213042551735265","vaccination -0.00182825045416146","state -0.00163107260029771","india -0.00127968473064288","vaccine -0.00110702333311508","brazils -0.000839359127768891","record -0.000807939095606724","countrys -0.000622619574673466","institute -0.000574881914001457","world -0.000512600796576113"
"67","death -0.00661931997118437","new -0.00222220642807236","week -0.00147014827240954","increase -0.0014211470838732","average -0.000946031047073914","state -0.000917563108143171","high -0.000679790502978284","city -0.000537499698385346","say -0.00048936503770669","month -0.000444445432599805"
"68","death -0.00398205934012963","average -0.00203262367462664","state -0.00163721074731427","county -0.00154858871047536","country -0.00145374360107964","last -0.00137881334323653","per -0.00123381098512831","coronavirus -0.000954764382716689","us -0.000938004327098452","day -0.000900824719582083"
"69","vaccine -0.00312079987667924","people -0.00288370874532318","health -0.00143710352333337","prison -0.00137656517927587","thailand -0.00103338751889392","per -0.000846760244779143","million -0.000749895222661667","average -0.000724295741988068","population -0.00068983311906945","infection -0.000644894816327346"
"70","death -0.00602507070402736","health -0.0020455448262785","vaccinate -0.00168670685434991","us -0.00162973000000755","record -0.00160554742099961","state -0.0015365493174696","low -0.00144954660751384","transmission -0.00138149729099446","fully -0.00132899389555663","county -0.0012337452043113"
"71","case -0.0232408525132672","death -0.00896644215916409","health -0.00368780898203491","us -0.00293016469665019","india -0.00291209559669092","report -0.00277692535589036","country -0.00217297870069577","cdc -0.00172089507363637","ministry -0.00171822685107093","numb -0.00170527782340968"
"72","case -0.0255574377019245","death -0.00990074829606669","new -0.00336760212748743","numb -0.0030242176076537","jj -0.00293991319276943","vaccine -0.00223091117869645","health -0.00171089358903553","ministry -0.00125215770374565","infection -0.00119311219526408","nearly -0.00118598677246518"
"73","report -0.0115678208150573","resident -0.00910846635526075","dos -0.00480838848134446","washington -0.00209082889907874","late -0.00197775267364997","numb -0.00164816821088543","mexico -0.00162613144408907","york -0.00157057646932346","fully -0.00152109854973537","jersey -0.00150303118965356"
"74","report -0.0112322018165361","dos -0.0112322018165361","medicaid -0.00598846262503372","total -0.00518209152932303","cdc -0.00438950696709606","york -0.00437191574727602","new -0.00390981650940958","datum -0.00389879781810354","also -0.0030560747152385","case -0.0028709396913239"
"75","vaccine -0.0117491465975719","million -0.0116592503546701","washington -0.00421897387127024","little -0.00339694016363601","case -0.00333711755408372","total -0.00314591016010635","pace -0.00237681103722931","may -0.00231762809099212","receive -0.00229147287701903","good -0.00209601877199328"
"76","dos -0.0175472702202416","vaccine -0.011157632249807","report -0.00830768263329384","american -0.00740484305338363","become -0.00482050896612707","good -0.00374226919360043","administer -0.00338596078842768","may -0.00323787057392233","average -0.00248338678059012","health -0.00239120939766313"
"77","age -0.00599001584630066","adult -0.00443050972154879","will -0.00441151853083432","new -0.00429615886330825","one -0.00417961443153203","dose -0.0033715533417098","last -0.0032358758466613","week -0.00256046629600004","get -0.00246406541692867","dos -0.00214206333650091"
"78","fully -0.0261798882153966","new -0.0101211668986294","day -0.00540863131279556","among -0.00500320308660529","washington -0.00267098466761106","hospitalization -0.00260182995652836","behavior -0.00254584565081728","island -0.0024519832852552","variant -0.00226491191176847","high -0.00201423485541319"
"79","case -0.0181590033157913","fully -0.00928395816789018","people -0.008362498699645","increase -0.00692898189059621","vaccine -0.00338318706899587","resident -0.00206521372915169","will -0.00180535626022416","delta -0.00177649998091534","high -0.00156751151606405","child -0.00135852595379571"
